날짜,공휴일 명칭
2019/1/1,새해 첫날
2019/2/4,설날 연휴
2019/2/5,설날 연휴
2019/2/6,설날 연휴
2019/3/1,3·1절
2019/5/5,어린이날
2019/5/12,부처님오신날
2019/6/6,현충일
2019/8/15,광복절
2019/9/12,추석 연휴
2019/9/13,추석 연휴
2019/9/14,추석 연휴
2019/10/3,개천절
2019/10/9,한글날
2019/12/25,성탄절
2020/1/1,새해 첫날
2020/1/24,설날 연휴
2020/1/25,설날 연휴
2020/1/26,설날 연휴
2020/3/1,3·1절
2020/4/30,부처님오신날
2020/5/5,어린이날
2020/6/6,현충일
2020/8/15,광복절
2020/9/30,추석 연휴
2020/10/1,추석 연휴
2020/10/2,추석 연휴
2020/10/3,개천절
2020/10/9,한글날
2020/12/25,성탄절
2021/1/1,새해 첫날
2021/2/11,설날 연휴
2021/2/12,설날 연휴
2021/2/13,설날 연휴
2021/3/1,3·1절
2021/5/5,어린이날
2021/5/19,부처님오신날
2021/6/6,현충일
2021/8/15,광복절
2021/9/20,추석 연휴
2021/9/21,추석 연휴
2021/9/22,추석 연휴
2021/10/3,개천절
2021/10/9,한글날
2021/12/25,성탄절
2022/1/1,새해 첫날
2022/1/31,설날 연휴
2022/2/1,설날 연휴
2022/2/2,설날 연휴
2022/3/1,3·1절
2022/5/5,어린이날
2022/5/8,부처님오신날
2021/6/6,현충일
2021/8/15,광복절
2022/9/9,추석 연휴
2022/9/10,추석 연휴
2022/9/11,추석 연휴
2022/10/3,개천절
2022/10/9,한글날
2022/12/25,성탄절
